Landkreis,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
SK Bamberg,09461,294,22,241
SK Bayreuth,09462,316,11,272
SK Berlin Charlottenburg-Wilmersdorf,11004,2099,23,1594
SK Berlin Friedrichshain-Kreuzberg,11002,2212,9,1707
SK Berlin Lichtenberg,11011,1060,15,849
SK Berlin Marzahn-Hellersdorf,11010,892,8,773
SK Berlin Mitte,11001,3457,21,2708
SK Berlin Neukölln,11008,3192,45,2275
SK Berlin Pankow,11003,1711,38,1422
SK Berlin Reinickendorf,11012,1564,22,1208
SK Berlin Spandau,11005,1213,9,913
SK Berlin Steglitz-Zehlendorf,11006,1376,13,1011
SK Berlin Tempelhof-Schöneberg,11007,2267,27,1549
SK Berlin Treptow-Köpenick,11009,850,11,648
SK Bielefeld,05711,1292,9,825
SK Bochum,05911,1790,28,1299
SK Bonn,05314,1645,10,1402
SK Bottrop,05512,473,7,382
SK Brandenburg a.d.Havel,12051,92,1,81
SK Braunschweig,03101,608,18,498
SK Bremen,04011,3316,55,2064
SK Bremerhaven,04012,311,8,276
SK Chemnitz,14511,522,7,348
SK Coburg,09463,158,4,146
SK Cottbus,12052,116,0,82
SK Darmstadt,06411,639,18,473
SK Delmenhorst,03401,451,4,254
SK Dessau-Roßlau,15001,146,3,106
SK Dortmund,05913,2828,21,2263
SK Dresden,14612,1251,13,932
SK Duisburg,05112,3765,80,3061
SK Düsseldorf,05111,4191,53,2961
SK Eisenach,16056,49,4,41
SK Emden,03402,63,0,48
SK Erfurt,16051,299,3,253
SK Erlangen,09562,471,12,399
SK Essen,05113,2921,50,2231
SK Flensburg,01001,157,3,129
SK Frankenthal,07311,115,2,85
SK Frankfurt (Oder),12053,111,0,82
SK Frankfurt am Main,06412,5252,81,3808
SK Freiburg i.Breisgau,08311,1492,80,1254
SK Fürth,09563,689,38,598
SK Gelsenkirchen,05513,1683,19,1289
SK Gera,16052,361,22,274
SK Hagen,05914,1094,15,849
SK Halle,15002,640,14,514
SK Hamburg,02000,10000,281,7827
SK Hamm,05915,1447,40,1230
SK Heidelberg,08221,662,7,564
SK Heilbronn,08121,943,17,686
SK Herne,05916,912,9,604
SK Hof,09464,204,5,186
SK Ingolstadt,09161,949,39,806
SK Jena,16053,274,4,241
SK Kaiserslautern,07312,355,6,304
SK Karlsruhe,08212,889,14,736
SK Kassel,06611,887,9,606
SK Kaufbeuren,09762,230,9,199
SK Kempten,09763,226,10,183
SK Kiel,01002,519,12,470
SK Koblenz,07111,422,20,357
SK Krefeld,05114,1258,28,1051
SK Köln,05315,7219,133,4487
SK Landau i.d.Pfalz,07313,117,2,92
SK Landshut,09261,489,9,458
SK Leipzig,14713,1118,13,880
SK Leverkusen,05316,861,9,660
SK Ludwigshafen,07314,770,3,609
SK Lübeck,01003,372,1,334
SK Magdeburg,15003,469,5,409
SK Mainz,07315,1394,28,1112
SK Mannheim,08222,1526,13,1229
SK Memmingen,09764,218,2,164
SK Mönchengladbach,05116,1326,52,1111
SK Mülheim a.d.Ruhr,05117,845,16,681
SK München,09162,13777,236,11580
SK Münster,05515,1329,13,1171
SK Neumünster,01004,215,3,172
SK Neustadt a.d.Weinstraße,07316,173,2,162
SK Nürnberg,09564,2644,54,2121
SK Oberhausen,05119,804,16,656
SK Offenbach,06413,902,12,694
SK Oldenburg,03403,362,3,325
SK Osnabrück,03404,877,19,788
SK Passau,09262,264,18,213
SK Pforzheim,08231,724,10,635
SK Pirmasens,07317,61,0,54
SK Potsdam,12054,821,51,719
SK Regensburg,09362,1068,10,949
SK Remscheid,05120,721,20,555
SK Rosenheim,09163,836,23,722
SK Rostock,13003,263,2,212
SK Salzgitter,03102,307,10,264
SK Schwabach,09565,155,2,129
SK Schweinfurt,09662,345,19,242
SK Schwerin,13004,142,0,133
SK Solingen,05122,980,13,746
SK Speyer,07318,186,1,157
SK Straubing,09263,536,48,455
SK Stuttgart,08111,3988,69,2968
SK Suhl,16054,40,2,33
SK Trier,07211,282,1,236
SK Ulm,08421,730,10,588
SK Weiden i.d.OPf.,09363,468,20,386
SK Weimar,16055,145,0,144
SK Wiesbaden,06414,1449,27,1155
SK Wilhelmshaven,03405,72,1,60
SK Wolfsburg,03103,491,52,405
SK Worms,07319,368,8,335
SK Wuppertal,05124,2419,88,1851
SK Würzburg,09663,931,52,713
SK Zweibrücken,07320,95,1,70
StadtRegion Aachen,05334,3776,111,2950
